"FACT_ID","RESTAURANT_ID","LOCATION_ID","CUISINE_ID","TYPE_ID","ONLINE_ORDER","BOOK_TABLE","RATING","VOTES","APPROX_COST"
18710,7101,655,3317,280,true,false,4.2,95,400
18711,50390,655,2548,156,true,false,3.5,56,400
18712,34490,464,5606,157,true,false,4.0,115,400
18713,36055,464,5236,339,true,false,3.8,144,700
18714,16674,464,2141,230,false,false,4.0,66,300
18715,3744,655,2141,230,true,false,\\N,0,350
18716,49748,655,3686,185,false,false,\\N,0,250
18717,48103,655,4183,156,false,false,3.9,16,200
18718,16036,465,209,231,false,true,4.3,1037,1000
18719,43184,465,2385,125,true,false,3.9,240,700
18720,2941,465,11262,164,false,false,3.9,206,450
18721,15076,465,5006,288,false,true,3.7,64,2200
18722,34494,465,2510,231,true,false,3.8,540,650
18723,43185,465,6611,231,false,false,3.9,111,700
18724,56268,465,5059,138,false,false,3.2,6,100
18725,39230,465,1142,164,false,false,4.8,2679,100
18726,17631,465,3975,164,false,false,3.9,100,300
18727,4527,465,4593,164,true,false,4.3,275,100
18728,4529,465,2102,164,false,false,4.2,257,150
18729,34491,465,1113,164,false,false,4.1,181,100
18730,38484,465,4845,164,true,false,\\N,0,300
18731,25630,465,655,164,false,false,4.2,280,150
18732,57164,465,4254,164,false,false,\\N,0,300
18733,3745,465,3342,164,false,false,4.0,65,200
18734,54554,465,6206,164,true,false,2.6,72,300
18735,57905,465,3523,164,false,false,\\N,0,200
18736,23139,465,2815,164,false,false,2.9,16,150
18737,15077,465,6209,164,false,false,3.2,4,100
18738,1946,465,6888,164,false,false,3.6,22,150
18739,23140,465,4848,164,true,false,3.6,18,300
18740,18482,655,265,231,true,true,4.2,2049,1000
18741,10902,655,772,231,true,false,4.2,109,800
18742,57165,655,1662,158,true,true,4.1,682,1000
18743,34492,655,743,231,false,false,4.0,950,600
18744,41627,655,4846,231,true,true,4.1,364,1200
18745,19880,655,6594,275,true,false,4.4,181,250
18746,3746,464,3663,179,false,true,3.8,977,1300
18747,51229,655,6026,231,false,true,4.0,370,1000
18748,44950,655,5016,164,true,false,4.0,1778,200
18749,24186,464,2557,231,true,false,3.8,59,750
18750,43968,271,6212,231,false,false,3.5,21,450
18751,53022,464,3335,231,true,true,4.0,633,800
18752,48916,464,6865,14,false,false,3.7,43,700
18753,45597,464,4594,231,true,false,3.9,888,750
18754,57166,464,7080,164,false,false,4.4,343,100
18755,36056,655,4279,231,true,false,4.1,139,550
18756,53021,655,6633,164,true,false,3.7,53,400
18757,52195,655,6598,231,true,true,3.9,142,1000
18758,13603,655,7070,125,true,true,3.9,291,650
18759,36057,655,7122,164,false,false,3.5,9,500
18760,43186,655,3976,231,true,true,2.8,80,500
18761,33643,271,2815,164,false,false,3.3,5,300
18762,10904,464,4596,164,true,false,3.0,290,450
18763,21473,464,4595,231,true,false,2.8,45,800
18764,24187,655,11263,164,false,false,3.8,39,250
18765,14415,464,6865,231,true,false,3.2,119,400
18766,34495,464,5287,164,false,false,3.8,62,150
18767,57167,464,5285,231,true,false,3.5,179,600
18768,58715,271,5614,164,false,false,3.4,6,400
18769,43969,464,7069,288,false,false,3.0,98,800
18770,49749,655,6885,164,false,false,3.6,13,100
18771,7103,464,6885,164,false,false,\\N,0,150
18772,43970,655,6212,164,true,false,\\N,0,300
18773,2942,464,6874,125,false,false,3.3,4,500
18774,10091,270,6865,164,false,false,\\N,0,300
18775,36058,464,2815,164,false,false,\\N,0,150
18776,41628,655,5564,164,false,false,3.0,17,200
18777,47371,655,5614,164,false,false,\\N,0,200
18778,10092,464,2143,164,false,false,3.3,17,200
18779,57906,464,2142,164,false,false,3.7,21,150
18780,42588,464,2144,164,false,false,3.6,22,300
18781,52194,655,6027,231,true,false,3.7,323,850
18782,8663,655,3702,15,true,true,4.1,970,1500
18783,16037,464,5575,5,false,false,3.1,30,1000
18784,7102,551,2347,232,false,true,4.3,403,1800
18785,1947,551,4577,232,false,false,3.0,120,1000
18786,35149,628,4849,232,false,true,4.7,881,1600
18787,15078,628,5035,232,true,false,4.3,754,500
18788,46383,551,3880,126,true,false,3.8,35,650
18789,47372,551,3853,126,true,false,2.9,19,500
18790,21474,551,11266,126,true,true,4.0,341,1000
18791,37556,707,3949,24,false,false,3.9,22,200
18792,50391,603,158,165,true,false,3.2,113,450
18793,11932,551,4108,269,true,false,3.5,137,350
18794,37557,551,4847,269,true,false,4.0,532,300
18795,12500,551,2905,205,true,false,3.9,1233,500
18796,17633,551,6440,345,true,false,4.0,152,400
18797,23143,551,3581,269,true,false,4.0,77,300
18798,54556,466,6437,233,true,false,4.0,316,250
18799,6265,551,629,205,true,false,4.0,894,750
18800,12471,628,1910,269,true,false,3.2,380,450
18801,18483,628,6126,165,true,false,4.0,357,650
18802,33645,466,2405,205,true,false,2.8,188,400
18803,22448,628,2820,269,true,false,3.9,69,200
18804,48915,584,4171,165,true,false,3.7,63,300
18805,10094,628,11264,165,true,false,4.1,88,600
18806,45601,551,2820,269,true,false,3.7,37,400
18807,51230,551,5564,269,true,false,2.9,120,400
18808,42589,603,1289,205,true,false,4.0,717,800
18809,13601,551,6213,205,true,false,3.1,41,700
18810,24980,551,6742,205,true,false,3.4,33,800
18811,4530,551,5421,166,true,false,4.0,107,400
18812,2943,551,2951,205,true,true,3.8,157,600
18813,49750,466,5564,343,false,false,3.2,13,\\N
18814,47374,551,5564,269,true,false,3.6,51,200
18815,12472,466,1631,269,true,false,3.1,281,400
18816,43972,466,4184,159,true,false,3.9,39,300
18817,33644,628,6214,269,true,false,3.6,16,500
18818,40112,466,1746,205,true,false,3.9,396,850
18819,38483,628,6207,269,true,true,3.9,42,500
18820,37558,603,2144,269,true,false,\\N,0,300
18821,53023,628,5034,269,true,false,3.8,30,300
18822,10906,551,6019,165,true,false,\\N,0,550
18823,45598,466,2908,269,true,false,\\N,0,500
18824,45599,466,3977,205,true,true,4.0,547,1000
18825,54557,466,286,269,true,false,4.0,55,500
18826,21472,628,2815,165,true,false,3.6,55,600
18827,48918,603,3168,205,true,true,3.9,661,750
18828,25631,551,4850,159,true,false,3.5,5,200
18829,15080,628,3978,269,true,false,4.0,44,300
18830,16676,628,2952,269,true,false,3.2,97,250
18831,35151,466,810,269,true,false,4.0,162,500
18832,4528,466,6754,341,true,true,4.2,1383,1100
18833,38485,551,4888,205,false,false,4.0,246,1200
18834,36059,628,3554,269,true,false,3.1,25,150
18835,48917,603,2484,205,true,true,4.2,340,1700
18836,25632,551,11265,269,true,false,3.2,127,400
18837,38486,318,11120,343,true,false,3.0,137,650
18838,10093,551,4442,310,true,false,3.7,48,400
18839,24981,628,3625,269,true,false,3.7,39,200
18840,22449,551,6028,205,true,false,3.0,289,500
18841,19279,603,6864,165,true,false,\\N,0,500
18842,56269,603,3543,178,true,false,3.4,20,250
